100000	0.9	Ebola	0.25	10
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109397f60>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1095f3358>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a1a54a8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1093a05c0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a221a58>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1099ec7f0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109608f60>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a1e8a58>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a506278>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109b05358>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109fc9b38>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109a9a278>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10992ff28>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1096c0d30>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10955b668>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109dcd828>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10940b198>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c54e48>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1097e9fd0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c43a90>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1099b4668>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109d33128>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109ac1630>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10931e048>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109815e10>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a1f7e80>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109d82470>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109bac5c0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109ab3320>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a11b668>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a0024e0>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x108eade80>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a40f7b8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a029320>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109c15b70>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109758278>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109555240>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x10a3e2828>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x1094345f8>	False	True	None
<person.Person object at 0x108e9cfd0>	<person.Person object at 0x109330438>	False	True	None
